musicId,lrc_text,Arousal(mean),Valence(mean)
755,"biang biang biang biang ~. ba ba ba ba. bang bang bang bang. the mood is right. the spirits is up. We're here tonight. And that's enough. Simply having a wonderful christmastime. Simply having a wonderful christmastime. The choir of children sing their song. They practiced all year long. Ding dong, ding dong. Ding dong, ding dong. Ding dong, ding dong. The moon is right. The spirits up. We're here tonight. And that's enough. Simply having a wonderful christmastime. Simply having a wonderful christmastime. OHHHHHHHHHHHHHH. Christmastime.",0.5125,0.625
796,"Beep. Beep. I'm sittin' at the red light. My ankle monitor beepin'. Hadn't been charged. I think I see the beeper. Bounce. Maybach Music. I took my roof off at the red light. I took my roof off at the red light. Trap, trap, trap, trap, trap, trap. Trap, trap, trap, trap, trap, trap. Brown bag legend 'cause it's all cash. Brown bag legend when it's all cash. Trap, trap, trap, trap, trap, trap. Trap, trap, trap, trap, trap, trap. First one on the block, woah. I need mine off the top, uh. Over town, he got shot. Muddy died in Opa-locka. Couldn't save one lung. Hit 'em up, hmm, hmm. See the look on my face (woo!). Like Carol City one state. Niggas hate on my sound. 'Till I went the first round. Then I earnt the Lombardi. Ain't no ****boys allowed. Only **** if she exclusive. Her favorite rapper Lil Boosie. To tell the truth I didn't ask. When it come to bitches I'm Gucci. I'm the wrong one to rob. In the jungle I'm Nas. In the label I'm Russ. In the trap I'm Rick Ross. Double M, Goldman Sachs. Just like Omar and Khloe. You can't dial for the packs. I sent you right back loaded. I took my roof off at the red light. I took my roof off at the red light. Trap, trap, trap, trap, trap, trap. Trap, trap, trap, trap, trap, trap. Brown bag legend 'cause it's all cash. Brown bag legend when it's all cash. Trap, trap, trap, trap, trap, trap. Trap, trap, trap, trap, trap, trap. I was tryna bet the whole map. Vegas, stay in the trap. Niggas talkin' 'bout raidin' the trap. Man I'm 'bout to go ape in the trap. (Nigga goin' ape shit). Nigga watch your babies in the trap. Nigga cook a whole base in the trap. Young nigga slave in the trap. Nigga run base, base in the trap. I'm 'bout to get this shit movin', yeah. Answer the door with the Woolie, yeah. Wrist in the water, I need me a boat. I'm 'bout to get this shit cruisin', yeah. Stand at the store 'til you're woozy, woozy. Let's make a movie, movie, yeah. Movie, movie, movie. Bitch I'm richer than Tom Cruise, yeah. So many different meds on me. **** around, call the fed on me. Chi-Chi Boom boom boom your head, homie, race. Draco got a lot of lead on it. You dead. I took my roof off at the red light. I took my roof off at the red light. Trap, trap, trap, trap, trap, trap. Trap, trap, trap, trap, trap, trap. Brown bag legend 'cause it's all cash. Brown bag legend when it's all cash. Trap, trap, trap, trap, trap, trap. (Yeah)Trap(Wale though)trap, trap, trap, trap, trap. I ain't nothin' like the trap niggas. Goyard backpack nigga. Uber crates 'til the feds pull up. Woo woo, cataracts, nigga. I'm the type, holla at the wife. Her body yours, but her soul is mine. Adios, do a hundred 20. All she want is good dick and advice. Wraith, scrappin' my tires. Jameson 'till I'm fried. Famous here but I'm humble. Double M the Empire. Renzel got me all day. Kyrie, he LeBron James. Tired niggas say. Folarin ain't top SportsCenter every day. I ain't nothin' like them trap guys. I mean I kinda do bag dimes. I kinda never do back down. Leave a nigga high via rap lines. Get a beat, leave it baptized. Mob ties, but it's black lives. Black lives, nigga, trap lives. Gimme five on the black side. I took my roof off at the red light. I took my roof off at the red light. Trap, trap, trap, trap, trap, trap. Trap, trap, trap, trap, trap, trap. Brown bag legend 'cause it's all cash. Brown bag legend when it's all cash. Trap, trap, trap, trap, trap, trap. Trap, trap, trap, trap, trap, trap.",0.6,0.375
966,"""Law"" (feat. E-40). -. Don't ******* no ******* that's ******* with your dawg, that's law. If you come up don't forget about your dawgs, that's law. I'm a street ******* so its ******* the law. If you broke ******* that should be against the law. ******* no ******* that's ******* with your dawg, that's law. If you come up don't forget about your dawgs, that's law. I'm a street ******* so its ******* the law. If you broke ******* that should be against the law. -. I'm a real hustler so don't knock it, that's law. Its all about the re-up and the profit, that's law. Can't be in the club without no bottles, that's law. We gon' ball today ******* tomorrow, that's law. I be in the kitchen whipping trying to cook the sauce. If you sat down to talk, then ******* you the law. Balmain mannequin I'm fresher than a doll. Look so damn fresh that *******t should be against the law. I'm living my life like the rules of the game and they calling the 40 a law. Money with money with all of my homies ain't ******* with none of these broads. Hustling just to show out for these ******* you lost. In love but you ain't never got the ******* you want. Head on first night we need to turn that to law. Love at first sight man I don't ******* with that at all. ******* can't be beefing 'bout no *******s, that's law. *******s shouldn't beefing over *******, that's off. -. Don't ******* no ******* that's ******* with your dawg, that's law. If you come up don't forget about your dawgs, that's law. I'm a street ******* so its ******* the law. If you broke ******* that should be against the law. ******* no ******* that's ******* with your dawg, that's law. If you come up don't forget about your dawgs, that's law. I'm a street ******* so its ******* the law. If you broke ******* that should be against the law. -. Got guns for every *******, news reporter. Working with them fours you on Law & Order. If you girl getting it then you must support her. I turnt up I'm trying to ******* somebody daughter. Piecing up on bottles boy don't let me find out. Don't let me find out, don't let me find out. Them your home girl's ******* don't let me find out. Don't let me find out, don't let me find out. . You can't rock all white if your white be looking dingy. The brokest ******* always trying to say they independent. I'm picking real ******* over bad ******* do you feel me. -. Don't ******* no ******* that's ******* with your dawg, that's law. If you come up don't forget about your dawgs, that's law. I'm a street ******* so its ******* the law. If you broke ******* that should be against the law. I'm a real hustler so don't knock it, that's law. Its all about the re-up and the profit, that's law. Can't be in the club without no bottles, that's law. We gon' ball today ******* tomorrow, that's law. -. Paper over plastic P.O.P, that's law. Cash on delivery C.O.D, that's law. Hush your mouth and let them teach you, that's law. Never bite the hand of the man that feed you, that's law. Don't forget who buttered your bread don't get amnesia, that's law. Sleep with one eye closed, the back door you ain't sneaking, that's law. Know your bail bonds man and your lawyer number by heart, that's law. Interrogation keep your tongue in park, that's law. You pu*******ng a lot, I'm pu*******ng a lot. You packing a nine, I'm packing a nine. Your ******* is a dime, my ******* is a dime. She curvy and fine, she curvy and fine. You halving your bread, I'm halving my dough. You selling them O's, I rap and do shows. You proud your nose, I only do dro. Minute she know, indoor outdoor. Got to play the game of life 'til game of death, that's law. Don't be no ******* don't stir up hella mess, that's law. He praying on his paper didn't pray, that's law. Dab with two guns in hand from the AK, that's law. -. Don't ******* no ******* that's ******* with your dawg, that's law. If you come up don't forget about your dawgs, that's law. I'm a street ******* so its ******* the law. If you broke ******* that should be against the law. I'm a real hustler so don't knock it, that's law. Its all about the re-up and the profit, that's law. Can't be in the club without no bottles, that's law. We gon' ball today ******* tomorrow, that's law.",0.575,0.45
225,"Oh, oh, oh, oh. I've been hurt so many times. It got to a point. When I decided. I can't do this anymore. I need someone to hold me. I need someone that needs me. I need someone that loves me. . You need me to get that shit together. So we can get together. You need me to get that shit together. So we can get together. You need me to. You need me to. . You know, we don't have to be dramatic. Just romantic. Do all the little things, little things. That excites me. As your woman. Give me a kiss goodnight. On the phone. When you're working late. When you're out of town. Tell me how much you need this. Cause we deserve it. We can be together. . You need me to get that shit together. So we can get together. You need me to get that shit together. So we can get together. You need me to. (Yeah, oh, oh, yeah). You need me to. (Yeah, oh, oh, oh, yeah). You need me to.",0.4125,0.525
219,"I took 2 weeks vacation. for the honey moon. A couple tickets all inclusive. down in cancun. I couldn't get my money back so. I'm in seat 7A. I'm gettin' drunk on a plane. I bet the feller on the aisle. thought I was crazy. Cause I taped your picture. To the seat back right beside me. Now I've got empty mini bottle. fillin' both our trays. I'm gettin' drunk on a plane. Buyin' drinks for everybody. But the pilot, it's a party. Got this seven thirty-seven rockin' like the G6. Stewardess is somethin' sexy. Leanin' pourin' coke and whiskey. Told her about my condition. Got a little mile-high flight attention. It's mardi gras. Up in the clouds. I'm up so high, I may never come down. I'll try anything to drown out the pain. They all know why. I'm gettin' drunk on a plane. We had this date marked. on the calendar forever. We'd take that new wed limo. to the airport ride together. I feel like a plastic groom. Alone up there on top of the cake. So hey, I'm gettin' drunk on a plane. Buyin' drinks for everybody. But the pilot, it's a party. Got this seven thirty-seven rockin' like a G6. Stewardess is somethin' sexy. Leanin' pourin' coke and whiskey. Told her about my condition. Got a little mile-high flight attention. It's mardi gras. Up in the clouds. I'm up so high, I may never come down. I'll try anything to drown out the pain. They all know why, I'm gettin' drunk on a plane. On my way home. I'll bump this seat right up to first class. So I can drink that cheap. champagne out of a real glass. And when we land I'll call her up. and tell her 'Kiss my ass'. Cause hey, I'm drunk on a plane. Buyin' drinks of everybody. But the pilot, it's a party. Got this seven thirty-seven rockin' like a G6. Stewardess is something sexy. Leanin' pourin' coke and whiskey. Told her about my condition. Got a little mile-high flight attention. It's mardi gras. Up in the clouds. I'm up so high. I may never come down. I'll try anything to drown out the pain. They all know why. I'm gettin' drunk on a plane. I'm gettin' drunk on a plane. I'm might be passed out. In the baggage claim. But right now, I'm drunk on a plane.",0.8375,0.75
580,Why do you keep on staring. That mirror mirror it ain't fair at all. Hmmm. Dress sizes can't define. Don't let the world decide what's beautiful. No. You won't make yourself a name. If you follow the rules. History gets made. When you're acting a fool. So don't hold it back and just run it. Show what you got and just own it. No they can't tear you apart. If you trust your rebel heart. Ride it into battle. Don't be afraid. Take the road less traveled. Wear out your boots. And kick up the gravel. Don't be afraid. Take the road less traveled on. Oh whoa oh whoa. Take the road less traveled on. Don't follow anyone. March to the rhythm of a different drum. Hmmm. Why do we analyze. Break out and criticize the crazy ones. Oh. You won't make yourself a name. If you follow the rules. History gets made. When you're acting a fool. So don't hold it back and just run it. Show what you got and just own it. No they can't tear you apart no. If you trust your rebel heart. Ride it into battle. Don't be afraid. Take the road less traveled. Wear out your boots. And kick up the gravel. Don't be afraid. Take the road less traveled on. Oh whoa oh whoa. Take the road less traveled on. Oh whoa oh whoa. Take the road less traveled on. Put your hands up. Show me that you're one of a kind. Put your hands up. Let me hear your voice tonight. Oh. If you trust your rebel heart. Ride it into battle. Don't be afraid. Take the road less traveled. Wear out your boots. And kick up the gravel. Don't be afraid. Take the road less traveled. If you trust your rebel heart. Ride it into battle. Don't be afraid. Take the road less traveled. Wear out your boots. And kick up the gravel. Don't be afraid. Take the road less traveled on. Oh whoa oh whoa. Take the road less traveled. Wear out your boots. And kick up the gravel. Don't be afraid. Take the road less traveled on. Traveled on. Take the road less traveled on.,0.85,0.7875
351,"Yeah, yeah oh. Yeah, yeah yeah. That's the way everyday goes. Every time we have no control. If the sky is pink and white. If the ground is black and yellow. It's the same way you showed me. Nod my head, don't close my eyes. Half way on a slow move. It's the same way you showed me. If you could fly then you'd feel south. Up north's getting cold soon. The way it is, we're on land. So I'm someone to hold true. Keep you cool in this good life. Won't let you down when it's all ruined. Just the same way you showed me, showed me. You showed me love. Glory from above. Good Glory, dear. It's all downhill from here. In the wake of a hurricane. Dark skin of a summer shade. Nose dive in the flood lines. Tall tower, milk crate. It's the same way you showed me. Cannon ball off the porch side. Older kids trying off the roof. Just the same way you showed me (you showed). If you could die and come back to life. Up for air from the swimming pool. You kneel down to the dry land. Kiss the Earth that birthed you. Gave you tools just to stay alive. And make it up when the sun is ruined. That's the same way you showed me, showed me. You showed me love. Glory from above. Where God could fear. It's all downhill from here. Real life, Lamar Woods, Don King, Michael Jackson all this year. (We've come) Say what up to Magic, just shoot. Say what up to daddy. Say what up to life, I found it. And I know what you might want to know. Run from me and your team. Still ain't grabbin six (take it easy). Give me somethin sweet. Bitch I might bite, ain't no tellin. This is life, life immortality.",0.275,0.55
379,Girl put your love on me. Cause I won't let you down. I won't let you down. And we will be singing. Girl put your love on me. I feel it all around. I feel it all around. And we will be singing. And we will be singing. And we will be singing. . Girl put your love on me. Cause I won't let you down. I won't let you down. And we will be singing. Girl put your love on me. I feel it all around. I feel it all around. And we will be singing. And we will be singing. And we will be singing. . Girl put your love on me. Cause I won't let you down. I won't let you down. And we will be singing. Girl put your love on me. I feel it all around. I feel it all around. And we will be singing. And we will be singing. And we will be singing. And we will be singing. . Girl put your love on me. Cause I won't let you down. I won't let you down. And we will be singing. Girl put your love on me. I feel it all around. I feel it all around. And we will be singing. Girl put your love on me. Cause I won't let you down. I won't let you down. And we will be singing. Girl put your love on me. I feel it all around. I feel it all around. And we will be singing. And we will be singing. And we will be singing. . Girl put your love on me. Cause I won't let you down. I won't let you down. And we will be singing. Girl put your love on me. I feel it all around. I feel it all around. And we will be singing. And we will be singing. And we will be singing. And we will be singing. . Girl put your love on me. Cause I won't let you down. I won't let you down. And we will be singing. Girl put your love on me. I feel it all around. I feel it all around. And we will be singing.,0.9375,0.9125
147,Seen my share of broken halos. . Folded wings that used to fly. . They've all gone wherever they go. . Broken halos that used to shine. . Angels come down from the heavens. . Just to help us on our way. . Come to teach us then they leave us. . And they find some other soul to save. . Seen my share of broken halos. . Folded wings that used to fly. . They've all gone wherever they go. . Broken halos that used to shine. . Broken halos that used to shine. . Don't go looking for the reasons. . Don't go asking jesus why. . We're not meant to know the answers. . They belong to the by and by. . They belong to the by and by. . Seen my share of broken halos. . Folded wings that used to fly. . They've all gone wherever they go. . Broken halos that used to shine. . Broken halos that used to shine. . Broken halos that used to shine. . Broken halos that used to shine.,0.55,0.65
621,"Once I was seven years old my momma told me. Go make yourself some friends or you'll be lonely. Once I was seven years old. It was a big big world, but we thought we were bigger. Pushing each other to the limits, we were learning quicker. By eleven smoking herb and drinking burning liquor. Never rich so we were out to make that steady figure. Once I was eleven years old my daddy told me. Go get yourself a wife or you'll be lonely. Once I was eleven years old. I always had that dream like my daddy before me. So I started writing songs, I started writing stories. Something about the glory, just always seemed to bore me. Cause only those I really love will ever really know me. Once I was 20 years old, my story got told. Before the morning sun, when life was lonely. Once I was 20 years old. Lukas Graham!!!. I only see my goals, I don't believe in failure. Cause I know the smallest voices, they can make it major. I got my boys with me at least those in favor. And if we don't meet before I leave, I hope I'll see you later. Once I was 20 years old, my story got told. I was writing about everything, I saw before me. Once I was 20 years old. Soon we'll be 30 years old, our songs have been sold. We've traveled around the world and we're still roaming. Soon we'll be 30 years old. I'm still learning about life. My woman brought children for me. So I can sing them all my songs. And I can tell them stories. Most of my boys are with me. Some are still out seeking glory. And some I had to leave behind. My brother I'm still sorry. Soon I'll be 60 years old, my daddy got 61. Remember life and then your life becomes a better one. I made a man so happy when I wrote a letter once. I hope my children come and visit, once or twice a month. Soon I'll be 60 years old, will I think the world is cold. Or will I have a lot of children who can warm me. Soon I'll be 60 years old. Soon I'll be 60 years old, will I think the world is cold. Or will I have a lot of children who can warm me. Soon I'll be 60 years old. Once I was seven years old, my momma told me. Go make yourself some friends or you'll be lonely. Once I was seven years old. Once I was seven years old.",0.3625,0.55
